ID,Age,Income,EducationLevel,WorkExperience,Satisfaction,SpendingHabits,Region,PurchaseFrequency,ProductCategory,Score1,Score2,Score3,Score4,Score5,Group
55,46,67796.39493663283,PhD,40,39,36319.5978058208,East,Rarely,Clothing,22602.530404762947,169.71096879129618,51741.02264415106,12147.886778778753,64282.28389010382,C
26,23,59597.17259764856,Bachelor,26,48,67241.26753227248,West,Monthly,Food,58269.04265167136,59479.19955354555,63839.05245395578,57861.18843406474,34950.97011363427,A
47,53,58361.83850611537,Master,40,35,51347.7576804242,South,Rarely,Electronics,68391.24585802786,35500.198185867404,69387.68711631886,33376.44415618852,61641.30997471344,A
45,47,23303.365432542752,Bachelor,35,61,74829.07606446481,West,Yearly,Clothing,31046.333658388154,50850.132164147544,56575.91364117924,34258.68513521704,61656.770318945826,C
64,18,67059.83276480294,High School,48,45,50252.036715064634,South,Rarely,Electronics,32892.56249939659,53592.07238126139,67049.6776509534,54213.4881061825,79153.24711675048,B
19,33,64716.04048759863,Bachelor,47,49,32674.157483476924,North,Monthly,Books,52641.49845020291,34126.79423725253,56012.57638794809,31237.079729336107,47086.66527480337,C
30,49,54970.05094043691,Bachelor,37,58,42907.97005951405,North,Monthly,Books,58165.17756022174,67057.56416938815,51485.28695052653,33825.785611646505,28199.878792789234,A
22,25,28043.871246308718,Master,19,37,39911.29516496509,East,Monthly,Food,35713.21927977923,51365.42799141826,41248.68986576407,47112.25698314105,63905.301035620156,A
36,43,40501.98823753962,High School,23,27,71654.50624511708,North,Weekly,Food,65071.95620950387,56247.50821163155,20797.314111731972,36161.325065008015,18803.048981747463,B
44,52,39140.538247541546,Master,34,31,24652.132442932423,East,Weekly,Food,14272.022986114469,37835.31012804736,40997.19935581334,88915.38454883659,47607.664839509336,B
56,50,29648.646407155742,PhD,23,38,59276.86759273191,West,Rarely,Clothing,68317.36743903608,82635.21498017723,51863.38134185504,62780.90739620713,38370.900067864895,A
34,50,71568.62143394205,High School,64,57,69487.22548690393,North,Yearly,Electronics,33958.1560512172,38580.40766063938,47748.2215331907,66736.58269509205,60059.0419607256,B
31,31,92302.0998932641,Master,22,55,51411.98395039373,East,Monthly,Food,92791.49452242481,60662.47779065684,50240.864714667,64289.996845734,34396.03945560701,C
51,47,41006.63316511296,High School,51,58,10030.844563818864,South,Monthly,Electronics,20802.777784551774,71139.70087283096,52373.34855057352,45550.492765185285,65977.2987353165,C
48,49,28486.362962592844,High School,30,28,53867.07759551662,East,Weekly,Food,52598.39022705021,53188.17123017873,36051.08957343679,60532.947021141874,67257.12852329458,C
30,18,46011.82826704941,PhD,48,27,54719.2852064809,West,Monthly,Food,72069.53252059575,49082.45167150575,24082.92097406628,35814.09027124254,26726.995183079904,A
23,59,82157.67540057567,High School,49,21,58984.53821732484,West,Weekly,Clothing,51532.674668629625,22490.289876571875,46304.65416577106,35400.99335673437,58833.99707225115,A
45,57,48262.11272238681,Master,47,49,98241.0035451705,North,Monthly,Clothing,11237.256808128208,38090.24277594037,40405.978653824386,50393.687899927696,38168.640480785056,A
61,59,14917.626796845652,Bachelor,42,54,34909.17939772694,West,Weekly,Clothing,19424.857622133142,54563.86020510317,18665.155404989528,44395.71023164413,25847.788125099723,B
50,50,43047.53873248258,High School,25,22,53669.17229478216,West,Rarely,Clothing,61818.157574097335,69845.8302905225,37955.22686118835,60449.91937501197,33618.617546432724,A
60,63,53870.153169698424,Master,33,31,56924.55206175024,South,Rarely,Books,19153.947454679263,39128.70131255984,34486.21980499546,14067.536772211708,48481.00448965009,A
38,47,65920.55628787467,PhD,54,47,42864.63344006241,West,Rarely,Clothing,58676.292046144845,50232.56570339195,82813.49578038618,36062.542711819246,56311.30283114595,C
43,47,45202.80093303746,Bachelor,19,38,70259.19418831305,South,Monthly,Books,50368.049259888474,68702.1652710478,61080.04862187984,59687.31229687039,37642.76308406774,C
64,52,14932.723622582453,Bachelor,28,46,19335.93018469085,East,Monthly,Electronics,54143.65234128955,64886.63216632916,94133.11352216998,53238.193379386066,33410.976920039204,B
54,24,42645.92673249697,Bachelor,38,62,42999.3728473807,West,Monthly,Books,24172.821638188543,76965.9075562621,77688.96054599562,11999.610440001015,17075.44051834204,C
54,44,5003.953668072427,PhD,52,31,31771.299983724737,North,Weekly,Books,59673.49563276012,77109.4961129996,10740.828707548375,46422.53004296002,45064.14891968022,A
60,32,12081.75025312684,Master,56,52,33714.59837588094,West,Rarely,Food,59248.867945444144,65413.85553826548,17774.366740240537,67525.27855368721,54109.00473493911,C
46,28,75110.79629083334,High School,49,23,29409.63307502266,West,Rarely,Electronics,67957.94045621387,54371.806269734705,56319.08589063361,90378.75511659571,28521.17497669995,C
58,23,45806.06658317888,Master,42,31,64933.39316995142,West,Rarely,Clothing,79778.84257954509,56842.225000683815,54149.45492351129,88922.13064397538,51795.23684477981,A
48,27,56618.90481733015,PhD,57,47,71933.99807251725,East,Weekly,Electronics,73996.5308435914,29190.356063334864,50822.26170060313,46695.57074890726,51229.461274705776,B
42,31,38016.725333385235,High School,19,27,52962.01797548094,South,Monthly,Food,32288.068724659217,42436.267923176056,37952.7448393426,74520.03664206836,60655.14034031053,C
19,61,76925.67431169767,Bachelor,64,25,39480.282716732945,West,Rarely,Electronics,57028.48325312325,43458.67146960946,40153.86492539519,34991.163489065584,43877.02183995016,A
29,64,20581.579216176175,Bachelor,63,19,9757.902216774542,West,Rarely,Electronics,52140.46870644034,25606.259360330478,36344.49455731694,38885.39683883943,66275.38158423614,C
60,60,52661.586423643625,PhD,60,43,38080.97481749647,East,Weekly,Electronics,46168.648376083096,51543.88941324455,26470.023798249447,96005.93726826343,35733.04179651941,B
33,19,69759.19988456315,Master,47,63,83850.80418968355,West,Weekly,Food,28060.19643238736,38058.02010030838,61035.42114541106,43576.81255742565,53281.62159456295,C
48,43,58703.12242583935,Master,20,24,36638.40269287162,West,Monthly,Food,72606.5416656538,67785.54553553979,69571.46340338247,25596.492919064265,85938.59301388779,A
55,50,68369.95429884185,High School,44,49,61877.106959088764,East,Monthly,Clothing,56844.40454704936,32829.012932793885,58309.36809005388,30658.165809399983,24059.439302322364,A
35,19,58176.59010995929,Bachelor,62,54,53148.52499687355,East,Weekly,Food,65332.94989413148,43009.29580633741,46039.57580610098,5229.058108079764,14687.11303418775,A
52,35,24092.48734543503,Bachelor,60,28,45186.31793377688,South,Weekly,Electronics,77548.28620531048,25063.076955574525,38535.69784968592,38843.747138495186,35368.07253761057,C
34,21,50554.412074144275,Master,53,33,59211.60082089133,South,Rarely,Books,110634.9096470421,76491.2523463445,86754.947014659,78523.00553466898,18133.27173475716,A
47,21,33562.12317865157,High School,51,44,32573.410013503628,North,Weekly,Food,38070.33066809099,59125.44228660199,46642.07538110245,48881.77796600002,62519.12257038558,C
20,28,59243.960335202755,High School,63,55,17846.724017500343,North,Weekly,Clothing,67543.14811256231,32897.359854845476,65115.35910161994,56806.327214454635,4294.763334088049,C
33,42,4379.633378044367,High School,28,35,51657.63428124068,East,Yearly,Electronics,50323.31430646749,62673.65749540033,54515.62508160543,42909.21364059273,53817.159182062336,B
44,53,67202.8182606565,Master,53,53,71450.26106528044,North,Monthly,Electronics,66563.63852251126,60083.727749478276,30613.634503002802,59576.67265312396,52538.12123305267,C
47,63,33552.49349261639,PhD,62,35,52701.27356516052,East,Weekly,Books,88736.21466500327,62874.18519305134,13480.443928563633,53991.219909436455,58308.32051381912,C
59,55,53170.67931023649,Master,24,25,60565.161341879735,West,Yearly,Electronics,79832.11755447148,65221.48096046144,92331.42856683518,69509.88936681235,16746.254761188575,B
59,56,28367.0913676572,Bachelor,28,33,47423.87476829297,South,Rarely,Food,51202.02353210412,64815.84253703238,25614.87967046026,45181.35674141371,67563.42907137857,B
32,61,2725.786924264554,High School,49,62,36132.23027888882,East,Rarely,Electronics,74137.39910838303,18603.31460168023,17601.93312165382,56599.07539886529,43956.658916590204,C
54,38,49643.3207643436,Bachelor,20,57,70673.80816204447,East,Monthly,Books,38317.30062959055,54811.815812984074,83151.76334952067,95558.67506307384,33819.430485634606,C
57,47,46123.990112259155,Bachelor,30,27,50136.8715328456,East,Rarely,Food,58482.88799238735,59793.58139904584,55574.87574127607,34263.66817924369,51208.93845969236,B
24,58,19995.395044508827,Master,57,40,41683.899573732735,West,Rarely,Food,39400.36999814987,35620.44515028331,43138.317068267395,49859.52567519805,46565.52579706369,C
44,53,46625.59341812268,PhD,35,18,30657.643963479608,North,Weekly,Clothing,43844.63751094453,62004.58338651851,72476.08531931089,29994.084076114592,52082.01643665071,A
26,19,36484.05921126919,Bachelor,49,64,59792.082008511505,South,Monthly,Electronics,58769.182258739704,54194.11604748034,60857.14437639561,28070.05795951695,39156.91212756532,A
43,59,65109.51983716981,Master,29,61,57791.64263485508,North,Rarely,Clothing,89683.37663581467,27504.504534069718,629.9902818875344,44955.19215578051,15296.617241382497,B
52,36,24465.778755116058,Master,21,33,45768.10859990345,North,Rarely,Clothing,44725.21032172334,43550.61872929568,39083.8587254779,67911.89951583622,21006.54520348081,C
24,27,63834.83744556412,Bachelor,49,19,42561.932233656364,East,Monthly,Books,74058.49393542361,72695.4628325814,34581.239791985296,30902.961379647157,48766.43429914719,A
26,22,46434.8520336595,Bachelor,49,26,48946.18535026396,East,Weekly,Clothing,89835.36524413327,74992.1422685669,10341.980750972165,49128.662176236685,61843.79510448975,C
31,36,53210.1802480001,High School,21,52,37439.991327516516,North,Monthly,Food,36357.919884714065,23187.48184891279,52000.634295648844,88301.79683000059,50222.329416545326,A
42,57,73167.70667771844,Master,30,24,42597.81635140535,South,Monthly,Clothing,43923.89903800025,20828.416111782502,57282.33709475622,37553.15235475085,29670.87550009003,C
58,24,16591.732856948496,Bachelor,62,28,31470.462917375757,West,Weekly,Electronics,39048.03275352465,54797.39654615767,66530.80445921235,67021.10586363189,34012.80490032087,C
55,57,41400.70320056399,Master,20,48,35976.47641949035,North,Monthly,Books,34978.58582861985,16301.48375153538,13712.673184652813,15719.407522849498,69038.6066297433,C
56,49,6762.505819927137,PhD,48,18,66620.82300942048,North,Weekly,Books,25443.2571344056,40235.68435806619,54613.90385714026,61203.42036534489,75054.46550674732,C
